,Description of Filing (Date Filed),,Filer,
4907,Renewable Energy Resource (RER) Certification Application for Generation Unit: Dry Bridge Solar 3 (filed 11/17/18),11/17/18,"Dry Bridge Solar 3, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4907page.html
4906,Renewable Energy Resource (RER) Certification Application for Generation Unit: Dry Bridge Solar 2 (filed 11/17/18),11/17/18,"Dry Bridge Solar 2, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4906page.html
4905,Renewable Energy Resource (RER) Certification Application for Generation Unit: Dry Bridge Solar 1 (filed 11/17/18),11/17/18,"Dry Bridge Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4905page.html
4904,Tariff Advice Filing to Change Credit Card Transaction Fees (11/20/18),11/20/18,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4904page.html
4903,Review to Determine the Adequacy of Renewable-Energy Supplies Pursuant to R.I. Gen. Laws Sec. 39-26-6(d),,Public Utilities Commission,http://www.ripuc.ri.gov/eventsactions/docket/4903page.html
4902,"Renewable Energy Resource (RER) Certification Application for Generation Unit: Melville Solar Power, LLC (11/15/18)",11/15/18,"Melville Solar Power, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4902page.html
4901,"Renewable Energy Resource (RER) Certification Application for Generation Unit: Green Lane Solar Power, LLC (11/15/18)",11/15/18,Green Lane Solar Power LLC,http://www.ripuc.ri.gov/eventsactions/docket/4901page.html
4900,"Renewable Energy Resource (RER) Certification Application for Generation Unit: Blackhorse Farm Solar, LLC (11/15/18)",11/15/18,"Blackhorse Farm Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4900page.html
4899,Long-Term Contracting for Renewable Energy Recovery Factor for Year 2019 (11/15/18),11/15/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4899page.html
4898,Tariff Advice Filing to change the frequency of its billing for consumption charges (11/8/18),11/8/18,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4898page.html
4897,"Renewable Energy Resources (RER) Certification Application for Generation Unit: JO RI Solar, LLC (filed 11/8/18)",11/8/18,"JO RI Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4897page.html
4896,"Renewable Energy Resources (RER) Certification Application for Generation Unit: Copenhagen Wind Farm, LLC (filed 10/31/18)",10/31/18,"Copenhagen Wind, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4896page.html
4895,"Annual Reconciliation of the Standard Offer Service Rate, Transmission Charge and Transition Charge (filed 11/5/18)",11/5/18,Pascoag Utility District,http://www.ripuc.ri.gov/eventsactions/docket/4895page.html
4894,Demand Sde Management Filng for Year 2019 (filed 11/5/18),11/5/18,Pascoag Utiltiy District,http://www.ripuc.ri.gov/eventsactions/docket/4894page.html
4893,Investigation to Examine Prudence of Narragansett Electric Co. d/b/a National Grid's Maintenance Practices in Connection with the Cumberland LNG Facility (10/30/18),10/30/18,Public Utilities Commission,http://www.ripuc.ri.gov/eventsactions/docket/4893page.html
4892,"2019 Renewable Energy Growth - Classes, Ceiling Prices and Capacity Targets (filed 10/18//17)",10/18//17,RI Distribution Generation Board,http://www.ripuc.ri.gov/eventsactions/docket/4892page.html
4892,2018 Renewable Energy Growth Program - Tariffs and Solicitation and Enrollment Process Rules (to be filed 11/15/18),11/15/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4892page.html
4891,Renewable Energy Resources (RER) Certification Application for Generation Unit: Kearsarge Uxbridge (filed 10/11/18),10/11/18,"Kearsarge Uxbridge, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4891page.html
4890,"General Rate Filing to Collect Additonal Revenues of $6,388,424 to support a total revenue requirement of $10,249,751 (includes revenues requested in Docket No. 4885) - filed 10/10/18",10/10/18,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4890page.html
4889,2019 System Reliabilty Procurement Report (SRP) (filed 10/15/18),10/15/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4889page.html
4888,2019 Energy Efficiency Program (EEP) (filed 10/15/18),10/15/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4888page.html
4887,Renewable Energy Resources (RER) Certification Application for Generation Unit: Oakfield Wind (filed 10/9/18),10/9/18,"Evergreen Wind Power II, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4887page.html
4886,Renewable Energy Resources (RER) Certification Application for Generation Unit: Bingham Wind (filed 10/9/18),10/9/18,"Blue Sky West, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4886page.html
4885,"Compliance Rate Filing to Collect Additonal Revenues of $2,872,681 for Debt Service and Debt Service Coverage Expense (filed 10/4/18)",10/4/18,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4885page.html
4884,Renewable Energy Resources (RER) Certification Application for Generation Unit: Richmond Solar (filed 10/5/18),10/5/18,"Richmond Solar Power 1, LLC",
4883,Renewable Energy Resources (RER) Certification Application for Generation Unit: Founder's Homestead Farm Solar (filed 10/5/18),10/5/18,"Founder's Homestead Farm Solar, LLC",
4882,Tariff filing to increase Directory Assistance Service and N-411 Service (10/2/18),10/2/18,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4882-VRI-TariffFiling(9-28-18).pdf
4881,"Renewable Energy Resources (RER) Certification Application for Generation Unit: Peacedale Mill Complex (292 kW) - 1425 Kingstown Road, Wakefield RI - (filed 9/27/18)",9/27/18,Peacedale Mill Associates,http://www.ripuc.ri.gov/eventsactions/docket/4881page.html
4880,"Renewable Energy Resources (RER) Certification Application for Generation Unit: Windy Acres Solar, LLC (filed 9/25/18)",9/25/18,"Windy Acres Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4880page.html
4879,Application to implement a Multi-year Rate Plan (9/11/18),9/11/18,City of Woonsocket Water Division,http://www.ripuc.ri.gov/eventsactions/docket/4879page.html
4878,Application for Authority to Transact as a Competitive Local Exchange Carrier (9/13/18),9/13/18,"Teliax, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4878-Teliax-Applicationa_9-13-18.pdf
4876,Renewable Energy Resources (RER) Certification Application for Generation Unit: Solar East 2 (filed 8/29/18),8/29/18,"Lyndonville Solar East, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4876page.html
4875,Renewable Energy Resources (RER) Certification Application for Generation Unit: Lyndonville Solar West 1(filed 8/29/18),8/29/18,"Lyndonville Solar West, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4875page.html
4874,"Renewable Energy Resources (RER) Certification Application for Generation Unit: KB Surfaces, LLC (filed 8/29/18)",8/29/18,"KB Surfaces, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4874page.html
4873,Rulemaking Procedure to Amend Rules of Practice and Procedure and Adopt New Rules,,Public Utilities Commission,http://www.ripuc.ri.gov/eventsactions/docket/4873page.html
4872,2018 Gas Cost Recovery Filing (filed 8/31/18),8/31/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4872page.html
4871,Renewable Energy Resources (RER) Certification Application for Generation Unit: SED - Bristol Fire and Rescue Station (filed 8/24/18),8/24/18,"Solect Energy Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4871page.html
4870,Renewable Energy Resources (RER) Certification Application for Generation Unit: SED - Bristol Quinta Gamelin Center (filed 8/24/18),8/24/18,"Solect Energy Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4870page.html
4869,Renewable Energy Resources (RER) Certification Application for Generation Unit: SED - Bristol Compost Facility (filed 8/24/18),8/24/18,"Solect Energy Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4869page.html
4868,Renewable Energy Resources (RER) Certification Application for Generation Unit: SED - Bristol Animal Shelter (filed 8/24/18),8/24/18,"Solect Energy Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4868page.html
4867,"Renewable Energy Resources (RER) Certification Application for Generation Unit: WED GW Solar, LLC (filed 8/22/18)",8/22/18,"Green Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4867page.html
4866,"Renewable Energy Resources (RER) Certification Application for Generation Unit: WED Shun I, LLC (filed 8/22/18)",8/22/18,"Green Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4866page.html
4865,"Renewable Energy Resources (RER) Certification Application for Generation Unit: WED Shun II, LLC (filed 8/22/18)",8/22/18,"Green Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4865page.html
4864,"Renewable Energy Resources (RER) Certification Application for Generation Unit: WED Shun III, LLC (filed 8/22/18)",8/22/18,"Green Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4864page.html
4863,"Renewable Energy Resources (RER) Certification Application for Generation Unit: WED Green Hill, LLC (filed 8/22/18)",8/22/18,"Green Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4863page.html
4862,Renewable Energy Resources (RER) Certification Application for Generation Unit: WED Coventry Seven (South Array) (filed 8/22/18),8/22/18,"Green Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4862page.html
4861,"Renewable Energy Resources (RER) Certification Application for Generation Unit: WED Plainfield I, LLC (filed 8/22/18)",8/22/18,"Green Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4861page.html
4860,"Renewable Energy Resources (RER) Certification Application for Generation Unit: WED Plainfield II, LLC (filed 8/22/18)",8/22/18,"Green Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4860page.html
4859,"Renewable Energy Resources (RER) Certification Application for Generation Unit: WED Plainfield III, LLC (filed 8/22/18)",8/22/18,"Green Development, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4859page.html
4858,Renewable Energy Resources (RER) Certification Application for Generation Unit: Kearsarge GB (filed 8/14/18),8/14/18,Kearsarge GB LLC,http://www.ripuc.ri.gov/eventsactions/docket/4858page.html
4857,"Adoption of Performance Incentives for The Narragansett Electric Company d/b/a National Grid Pursuant to R.I. Gen. Laws Section 39-1-27.7.1(e)(3) to Apply to the Electric Infrastructure, Safety, and Reliability Plans",,Public Utilities Commission,http://www.ripuc.ri.gov/eventsactions/docket/4857page.html
4856,"Renewable Energy Resources (RER) Certification Application for Generation Unit: Shanix, Inc. (filed 8/8/18)",8/8/18,Kekin A. Shah,http://www.ripuc.ri.gov/eventsactions/docket/4856page.html
4855,2018 Electric Pension Adjustment Factor and Reconciliation Filing (filed 8/1/18),8/1/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4855page.html
4854,Renewable Energy Resources (RER) Certification Application for Generation Unit: Thurston Sails Inc (file 8/8/18),8/8/18,Steve Thurston,http://www.ripuc.ri.gov/eventsactions/docket/4854page.html
4853,Renewable Energy Resources (RER) Certification Application for Generation Unit: Cersosimo Lumber (filed 7/27/18),7/27/18,"Cersosimo Lumber Co., Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4853page.html
4852,Renewable Energy Resources (RER) Certification Application for Generation Unit: Providence Water COF Rooftop Solar Array (filed 7/30/18),7/30/18,Providence Water Supply Board,http://www.ripuc.ri.gov/eventsactions/docket/4852page.html
4851,Application for registration as Supplier of Telecommunication Services (filed 7/23/18),7/23/18,"2600Hz, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4851-260Hz-TelcoApplication_7-23-18.pdf
4850,"Renewable Energy Resources (RER) Certification Application for Generation Unit: JJ Cardosi, Inc. (filed 7/20/18)",7/20/18,"JJ Cardosi, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4850page.html
4849,Tariff Advice Filing - Waiver of Credit Card/Debit Card/E-Check Payment Provision (filed 7/16/18),7/16/18,Block Island Power Co.,http://www.ripuc.ri.gov/eventsactions/docket/4849page.html
4848,"Joint Petition to Transfer Certificate of Public Convenience and Necessity to Provide Telecommunications Services of Internet &amp; Telephone, LLC to Onepath Systems, LLC",,"OnePath Systems, LLC and Internet &amp; Telephone LLC",http://www.ripuc.ri.gov/eventsactions/docket/4848-OnepathSystems-Petition-SBO-Tariff_7-4-18.pdf
4847,2018 Renewable Energy Growth Program Factor Filing (filed 6/29/18),6/29/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4847page.html
4846,2019 Distribution Adjusment Clause Filing,,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4846page.html
4845,Renewable Energy Resources (RER) Certification Application for Generation Unit: University Solar LLC (filed 6/29/18),6/29/18,University Solar LLC,http://www.ripuc.ri.gov/eventsactions/docket/4845page.html
4844,Renewable Energy Resources (RER) Certification Application for Generation Unit: Tomaquag (filed 6/26/18),6/26/18,Captona Partners Solar III Finco LLC,http://www.ripuc.ri.gov/eventsactions/docket/4844page.html
4843,Renewable Energy Resources (RER) Certification Application for Generation Unit: Shannock Road (6/26/18),6/26/18,Captona Partners Solar III Finco LLC,http://www.ripuc.ri.gov/eventsactions/docket/4843page.html
4842,Renewable Energy Resources (RER) Certification Application for Generation Unit: North Road (field 6/26/18),6/26/18,Captona Partners Solar III Finco LLC,http://www.ripuc.ri.gov/eventsactions/docket/4842page.html
4841,Renewable Energy Resources (RER) Certification Application for Generation Unit: Cranberry Ridge (filed 6/26/18),6/26/18,Captona Partners Solar III Finco LLC,http://www.ripuc.ri.gov/eventsactions/docket/4841page.html
4840,Renewable Energy Resources (RER) Certification Application for Generation Unit: Arcadia Road (filed 6/26/18),6/26/18,Captona Partners Solar III Finco LLC,http://www.ripuc.ri.gov/eventsactions/docket/4840page.html
4839,"Renewable Energy Resources (RER) Certification Application for Generation Unit: Southern Sky Renewable Energy RI-Peck Hill 250kW, LLC (filed 6/26/18)",6/26/18,"Southern  Sky Renewable Energy RI-Peck Hill 25-kW, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4839page.html
4838,Arrearage Management Program Provision (filed 6/25/18),6/25/18,Pascoag Utility District,http://www.ripuc.ri.gov/eventsactions/docket/4838page.html
4837,Application for registration as Class VI Telecommunication Supplier (filed 6/18/18),6/18/18,"Covoda Communications, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4837-CovodaComm-TelcoApp(6-18-18).pdf
4836,Renewable Energy Resources (RER) Certification Application for Generation Unit: - Forbes Street Solar II LLC (filed 6/11/18),6/11/18,"Forbes Street Solar II, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4836page.html
4835,Renewable Energy Resources (RER) Certification Application for Generation Unit: Kenyon West Kingston (189kW) - 141 Fairgrounds Rd (filed 6/6/18),6/6/18,"Fairground Realty, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4835page.html
4834,Renewable Energy Resources (RER) Certification Application for Generation Unit: - Pownal Tannery Project (filed 5/31/18),5/31/18,"Hoosie River Hydro, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4834page.html
4833,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC (Plat 14 Lot 1 Fairground Road) (filed 5/31/18)",5/31/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4833page.html
4832,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC (15 James Road) (filed 5/31/18)",5/31/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4833page.html
4831,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC (26 West Shannock Road) (filed 5/31/18)",5/31/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4831page.html
4830,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC (849 Victory Highway) (filed 5/31/18)",5/31/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4830page.html
4829,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC (500 Waites Corner Road) ) (filed 5/31/18)",5/31/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4829page.html
4828,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC (Plat 14 Lot 2 Glen Rock Road) (filed 5/31/18)",5/31/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4828page.html
4827,Waiver Request for Number Block Release in the Westerly Rate Center (filed 5/23/18),5/23/18,AT&amp;T Corp.,http://www.ripuc.ri.gov/eventsactions/docket/4827-AT&T-WaiverRequest(5-23-18).pdf
4826,Tariff filing to withdraw various services (in RI PUC No. 15) in wire centers to migrate its network to all fiber and retire its copper network (filed 5/16/18),5/16/18,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4826-VRI-TariffFilling-NT(5-15-18).pdf
4825,Tariff filing to withdraw Multi and Party Line services (filed 5/16/18),5/16/18,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4825-VRI-TariffFiling-MultiPartyLine(5-15-18).pdf
4824,"National Grid’s Electric Revenue Decoupling Mechanism (RDM) reconciliation for the 12-month period ending March 31, 2018 (filed 5/15/18)",5/15/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4824page.html
4823,Application for registration as Class VI Telecommunication Supplier (filed 4/26/18),4/26/18,"Digium Cloud Services, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4823-DigiumCloud-Registration(4-26-18).pdf
4822,"Solicitations of Long-Term Contracts for Renewable Energy and Renewable Energy Certificates (RECs), Pursuant to R.I. Gen. Laws 39-26.1-1 et seq. (filed 4/23/18)",4/23/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4822page.html
4821,"Renewable Energy Resources (RER) Certification Application for Generation Unit: - Woods Hill Solar, LLC (filed 4/12/18)",4/12/18,"Woods Hill Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4821page.html
4820,Renewable Energy Resources (RER) Certification Application for Generation Unit: - Lewis Farm Rd Solar (filed 4/12/18),4/12/18,"Coventry Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4820page.html
4819,Application for registration as Class VI Telecommunication Supplier (filed 4/4/18),4/4/18,"Sangoma U.S., Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4819-SangomaUS-App_4-4-18.pdf
4818,Renewable Energy Resources (RER) Certification Application for Generation Unit: - Townshend Hydro (filed 4/3/18),4/3/18,"Blue Heron Hydro, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4818page.html
4817,Renewable Energy Resources (RER) Certification Application for Generation Unit: - Ball Mountain Hydro (filed 4/3/18),4/3/18,"Bue Heron Hydro, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4817page.html
4816,Gas Long-Range Energy Plans (filed 3/30/18),3/30/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4816page.html
4815,Application for registration as Class VI Telecommunication Supplier (filed3/23/18),3/23/18,"Dialpad, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4815-DialPad-Registration(3-23-18).pdf
4814,Tariff Advice Filing to Amend Miscellaneous Charges (Schedule B) (filed 3/26/18),3/26/18,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4814page.html
4813,Renewable Energy Resources (RER) Certification Application for Generation Unit: - Narragansett Bay Commission Bucklin Point Biogas Engine I (filed 3/14/18),3/14/18,Narragansett Bay Commission,http://www.ripuc.ri.gov/eventsactions/docket/4813page.html
4812,Application for registration as Class VI Telecommication Supplier (filed 3/22/18),3/22/18,"Irontrust Properties, LCC d/b/a Irontrust Networks",http://www.ripuc.ri.gov/eventsactions/docket/4812-IrontrustProperties-TelcoApp(3-22-18).pdf
4811,"Tariff filing to withdraw Enhanced Universal Emergency Number Service, Public Emergency Call Receiving Service, Goup Alerting System and Private Switch/Automatic Location Identification trunks in all tariffs (filed 3/1/18)",3/1/18,Verizon Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4811-Verizon-TariffFiling(3-1-18).pdf
4810,Application for registration as Class VI Telcommunication Supplier (filed3/14/18),3/14/18,"Crocker Communications, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4810-CrockerCommm-CLECApp(3-14-18).pdf
4809,National Grid's 2019 Standard Offer Service (SOS) Procurement Plan and 2019 Renewable Energy Standard (RES) Procurement Plan (field 3/1/18),3/1/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4809page.html
4808,Review of The Narragansett Electric Co. d/b/a National Grid's Revenue Requirement under R.I.G.L. Section 39-3-11 in light of the Tax Cuts and Jobs Act (3/1218),3/1218,Public Utilities Commission,http://www.ripuc.ri.gov/eventsactions/docket/4808page.html
4807,Application for registration as Competitive Local Exchange Carrier (filed3/8/18),3/8/18,"Tek Scape IT, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4807-TekScape-CLECApp(3-7-18).pdf
4806,Application for registration as Competitive Local Exchange Carrier (filed 1/29/18),1/29/18,Alliant Tetchnologies LLC,http://www.ripuc.ri.gov/eventsactions/docket/4806-AlliantTech-CLECApplication(1-29-18).pdf
4805,2018 Annual Retail Rate Filing (2/14/18),2/14/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4805page.html
4804,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC - Switch Road (filed 2/9/18)",2/9/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4804page.html
4803,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC - 139 Heaton Orchard Rd. (filed 1/29/18) (filed 1/29/18)",1/29/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4803page.html
4802,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC - 916 Main Street (filed 1/29/18)",1/29/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4802page.html
4801,Renewable Energy Resources (RER) Certification Application for Generation Unit: Next Generation Solar Farm - (filed 1/31/18),1/31/18,"Next Generation Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4801page.html
4800,Application to Change Rate Schedules (filed 1/30/18),1/30/18,Suez Water Rhode Island,http://www.ripuc.ri.gov/eventsactions/docket/4800page.html
4799,"Renewable Energy Resources (RER) Certification Application for Generation Unit: Richmond Solar Power 1, LLC - (filed 1/30/18)",1/30/18,"Richmond Solar Power 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4799page.html
4798,"Renewable Energy Resources (RER) Certification Application for Generation Unit: Coddington Cover Solar, LLC - (filed 1/30/18)",1/30/18,"Coddington Cove Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4798page.html
4797,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC - 3671 South County Trail (filed 1/29/18)",1/29/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4797page.html
4796,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC - Plat 8f Lot 12 South County Trail (filed 1/29/18) (filed 1/29/18)",1/29/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4796page.html
4795,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC - 722 Main St.(filed 1/29/18)",1/29/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4795page.html
4794,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC - 3738 South County Trail (filed 1/29/18) (filed 1/29/18)",1/29/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4794page.html
4793,Review of Block Island Power Company's Revenue Requirement under R.I.G.L. Section 39-3-11 in light of the Tax Cuts and Jobs Act (1/24/18),1/24/18,Public Utilities Commission,http://www.ripuc.ri.gov/eventsactions/docket/4793page.html
4792,Review of Interstate Navigation Company's Revenue Requirement under R.I.G.L. Section 39-3-11 in light of the Tax Cuts and Jobs Act (1/24/18),1/24/18,Public Utilities Commission,http://www.ripuc.ri.gov/eventsactions/docket/4792page.html
4791,"Renewable Energy Resources (RER) Certification Application for Generation Unit: RI Solar 1, LLC - 34 Kenyon Lane (filed 1/29/18)",1/29/18,"RI Solar 1, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4791page.html
4790,"Tariff Advice to Amend Net Metering Provision 
 RIPUC No. 2207 (filed 1/26/18)",1/26/18,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4790-page.html
4789,"Renewable Energy Resources (RER) Certification Application for Generation Unit: Seth's Way Solar, LLC (filed 1/19/18)",1/19/18,"Seth's Way Solar, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4789page.html
4788,"Renewable Energy Resources (RER) Certification Application for Generation Unit: George's River Energy, LLC (filed 1/11/18)",1/11/18,"Georges River Energy, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4788page.html
4787,Application for registration as Competitive Local Exchange Carrier (filed 1/8/18),1/8/18,"B A Telecom, Inc.",http://www.ripuc.ri.gov/eventsactions/docket/4787-BATelecom-CLEC-App(1-8-18).pdf
4786,Application for registration as Competitive Local Exchange Carrier (filed 1/8/18),1/8/18,"ITC Global Networks, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4786-ITCGlobal-CLEC-App(1-8-18).pdf
4785,Renewable Energy Resources (RER) Certification Application for Generation Unit: Kearsarge SKSC2 (1/2/18),1/2/18,Kearsarge SKSC2 LLC,http://www.ripuc.ri.gov/eventsactions/docket/4785page.html
4784,Renewable Energy Resources (RER) Certification Application for Generation Unit: Kearsarge SKSC1 (1/2/18),1/2/18,Kearsarge SKSC1 LLC,http://www.ripuc.ri.gov/eventsactions/docket/4784page.html
4783,"FY 2019 Electric Infrastrucure, System and Reliability Plan (filed 12/21/17)",12/21/17,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4783page.html
4782,Application for authority to transact as Competitive Local Exchange Carrier (filed 12/12/17),12/12/17,"Birch Communications, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4782-BirchCommunicationsInc-Applications(12-12-17).pdf
4781,"FY 2019 Gas Infrastrucure, System and Reliability Plan (filed 12/19/17)",12/19/17,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4781page.html
4780,Proposed Power Sector Transformation (PST) Vision and Implementation Plan (filed 11/28/17),11/28/17,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4780page.html
4779,"Renewable Energy Resources (RER) Certification Application for Generation Unit: Clarke Solar Center, LLC (filed 12/1/17)",12/1/17,"SunE Solar XVI Lessor, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4779page.html
4778,Renewable Energy Resources (RER) Certification Application for Generation Unit: Springfield Solar Alliance I (filed 12/1/17),12/1/17,"SunE Solar XVI Lessor, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4778page.html
4777,"Renewable Energy Resources (RER) Certification Application for Generation Unit: Otter Valley Solar Farm, LLC (filed 12/1/17)",12/1/17,"Otter Valley Solar Farm, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4777page.html
4776,"Request for Waiver of NANPA's Denial of Request for 10,000 Numbers to Service to Serve a Customer in the Centerdale Rate Center (filed 12/4/17)",12/4/17,"Teleport Communication America, LLC",http://www.ripuc.ri.gov/eventsactions/docket/4776-AT&T-WaiverRequest(12-4-17).pdf
4775,National Grid’s Long-Term Contracting for Renewable Energy Recovery Provision (LTC Recovery Provision) (filed 11/15/17),11/15/17,The Narragansett Electric Co. d/b/a National Grid,http://www.ripuc.ri.gov/eventsactions/docket/4775page.html
